Date,Open,High,Low,Close,Adj Close,Volume
2020-02-28,2916.90,3136.72,2855.84,3023.94,3023.94,31979720000
2020-02-21,3360.50,3360.76,2977.39,2978.76,2978.76,26906060000
2020-02-14,3378.08,3393.52,3341.02,3373.23,3373.23,14803480000
2020-02-07,3335.54,3385.09,3317.77,3373.94,3373.94,18391390000
2020-01-31,3282.33,3347.96,3214.68,3345.78,3345.78,20295790000
2020-01-24,3333.10,3333.18,3234.50,3283.66,3283.66,18462000000
2020-01-17,3323.66,3337.77,3301.87,3325.54,3325.54,15221550000
2020-01-10,3281.81,3317.11,3260.86,3316.81,3316.81,17623660000
2020-01-03,3226.36,3275.58,3214.64,3274.70,3274.70,17991140000
2019-12-27,3247.23,3258.14,3212.03,3257.85,3257.85,11805560000
2019-12-20,3223.33,3240.08,3216.03,3239.91,3239.91,12983080000
2019-12-13,3166.65,3205.48,3156.51,3205.37,3205.37,19485100000
2019-12-06,3134.62,3176.28,3126.09,3168.57,3168.57,17490940000
2019-11-29,3147.18,3150.30,3070.33,3117.43,3117.43,15764210000
2019-11-22,3111.41,3154.26,3099.26,3153.63,3153.63,14385500000
2019-11-15,3107.92,3127.64,3091.41,3103.54,3103.54,18198630000
2019-11-08,3081.25,3102.61,3073.58,3096.63,3096.63,16840650000
2019-11-01,3050.72,3097.77,3050.72,3085.18,3085.18,21242420000
2019-10-25,3003.32,3050.10,3001.94,3037.56,3037.56,18427430000
2019-10-18,2996.84,3016.07,2976.31,3010.29,3010.29,17178580000
2019-10-11,2963.07,3008.29,2962.94,2997.95,2997.95,15819470000
2019-10-04,2918.56,2959.75,2892.66,2938.13,2938.13,15305100000
2019-09-27,2985.47,2992.53,2855.94,2910.63,2910.63,17485670000
2019-09-20,3008.42,3016.37,2952.86,2977.62,2977.62,19579600000
2019-09-13,3012.21,3021.99,2978.57,3006.79,3006.79,18240580000
2019-09-06,2980.33,3020.74,2957.01,3009.57,3009.57,19364860000
2019-08-30,2937.09,2985.86,2891.85,2976.00,2976.00,13508240000
2019-08-23,2911.07,2930.50,2834.97,2924.58,2924.58,16619430000
2019-08-16,2864.74,2939.08,2864.74,2922.95,2922.95,15723040000
2019-08-09,2930.51,2943.31,2825.51,2847.60,2847.60,18909480000
2019-08-02,2943.90,2945.50,2822.12,2938.09,2938.09,21213550000
2019-07-26,3013.25,3027.98,2945.23,2953.56,2953.56,19537570000
2019-07-19,3004.26,3019.59,2975.86,3003.67,3003.67,16726170000
2019-07-12,3003.36,3017.80,2973.09,2995.11,2995.11,15712740000
2019-07-05,2984.25,3002.98,2963.44,2999.91,2999.91,14703880000
2019-06-28,2932.94,2995.84,2929.05,2995.82,2995.82,14135570000
2019-06-21,2952.71,2964.15,2912.99,2924.92,2924.92,18393780000
2019-06-14,2886.82,2958.06,2879.62,2954.18,2954.18,16506030000
2019-06-07,2852.87,2910.61,2852.87,2891.64,2891.64,16145780000
2019-05-31,2766.15,2852.10,2728.81,2843.49,2843.49,18765060000
2019-05-24,2832.41,2841.36,2766.06,2788.86,2788.86,14013350000
2019-05-17,2858.60,2885.48,2805.49,2822.24,2822.24,16926160000
2019-05-10,2863.10,2892.15,2801.43,2876.32,2876.32,17301280000
2019-05-03,2929.21,2947.85,2836.40,2870.72,2870.72,17555660000
2019-04-26,2925.81,2954.13,2900.50,2917.52,2917.52,17826160000
2019-04-19,2898.78,2936.83,2896.35,2926.17,2926.17,13593100000
2019-04-12,2900.86,2918.00,2891.90,2905.03,2905.03,17398900000
2019-04-05,2884.16,2895.95,2873.33,2888.32,2888.32,15307790000
2019-03-29,2828.27,2885.25,2819.23,2879.39,2879.39,17188560000
2019-03-22,2844.52,2846.16,2785.02,2815.44,2815.44,17556270000
2019-03-15,2810.79,2860.31,2810.79,2854.88,2854.88,20633070000
2019-03-08,2730.79,2821.24,2722.27,2808.48,2808.48,17909410000
2019-03-01,2798.22,2816.88,2739.09,2748.93,2748.93,19308390000
2019-02-22,2780.67,2813.49,2775.13,2784.49,2784.49,19183380000
2019-02-15,2760.24,2789.88,2760.24,2774.88,2774.88,14687040000
2019-02-08,2692.36,2761.85,2681.83,2745.73,2745.73,18418160000
2019-02-01,2702.32,2738.98,2687.26,2706.05,2706.05,18350190000
2019-01-25,2657.44,2708.95,2624.06,2704.10,2704.10,19806960000
2019-01-18,2651.27,2675.47,2612.86,2642.33,2642.33,14740960000
2019-01-11,2588.11,2645.06,2570.41,2635.96,2635.96,18422600000
2019-01-04,2474.33,2597.82,2474.33,2596.64,2596.64,20297360000
